TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-04,2026-09-04,CM,NSE,STK,15244,INE641C01019,KAVDEFENCE,EQ,,,,,KAVVERI DFS & WIR TEC LTD,56.95,67.38,56.78,67.14,66.77,56.15,,67.18,,,1505543,99108521.05,6294,F1,1,,,,,,Cash Only,Unclassified,False,63.76666666666667,62.08,65.45333333333335,65.45333333333335,62.08,3.373333333333349,5.024327276338023,Wide,Bullish,Above CPR,False,False,1.0,60,5274549.99,Higher,True,Neutral,False,3.2192857142857148,59.013600000000004,62.198899999999995,1.0478514902743927,18.789948192338585,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,20642,INE247D01039,JINDWORLD,EQ,,,,,JINDAL WORLDWIDE LTD,49.67,57.78,49.02,57.51,57.78,48.15,,57.51,,,188275533,10239526628.67,320645,F1,1,,,,,,Cash Only,Unclassified,False,54.77,53.400000000000006,56.14,56.14,53.400000000000006,2.739999999999995,4.7643888019474785,Wide,Bullish,Above CPR,False,False,0.9666666666666667,60,111210280.30000001,Higher,True,Neutral,False,2.9142857142857146,35.7058,31.879100000000005,0.9401960784313707,92.07356191395193,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,23027,INE572G01025,LANCORHOL,EQ,,,,,LANCOR HOLDINGS LIMITED,35.13,40.88,34.21,40.35,40.52,34.75,,40.35,,,2381575,91709854.35,9124,F1,1,,,,,,Cash Only,Unclassified,False,38.48,37.545,39.41499999999999,39.41499999999999,37.545,1.8699999999999903,4.634448574968997,Wide,Bullish,Above CPR,False,False,1.0,60,2899150.27,Higher,True,Neutral,False,2.780714285714286,27.687800000000003,26.2453,0.6724890829694288,31.633356607624204,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,759381,INE296Q01012,MONEYBOXX,EQ,,,,,MONEYBOXX FINANCE LIMITED,56.93,68.66,56.93,58.8,58.79,57.22,,58.81,,,92042,5791805.15,1040,F1,1,,,,,,Cash Only,Unclassified,False,61.46333333333333,62.795,60.13166666666666,62.795,60.13166666666666,2.663333333333341,4.5294784580499,Wide,Bearish,Below CPR,False,False,0.9833333333333333,60,841677.26,Higher,True,Neutral,False,3.303571428571428,59.4836,65.73599999999999,0.8061981981982007,6.881266044897067,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,-2,-2
2026-09-04,2026-09-04,CM,NSE,STK,20314,INE740D01017,NRAIL,EQ,,,,,N R AGARWAL INDS LTD,498.95,595.25,496.05,584.0,595.0,496.05,,583.78,,,157426,89869362.85,5383,F1,1,,,,,,Cash Only,Unclassified,False,558.4333333333333,545.65,571.2166666666666,571.2166666666666,545.65,25.566666666666606,4.377853881278528,Wide,Bullish,Above CPR,False,False,1.0,60,2795059.8499999996,Higher,True,Neutral,False,21.946428571428566,477.101,472.49550000000005,1.164957960401408,32.15292969486861,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,17376,INE688J01023,LANDSMILL,EQ,,,,,LANDSMILL GREEN LIMITED,0.67,0.71,0.63,0.63,0.64,0.67,,0.63,,,10129295,6736156.04,1760,F1,1,,,,,,Cash Only,Unclassified,False,0.6566666666666666,0.6699999999999999,0.6433333333333333,0.6699999999999999,0.6433333333333333,0.026666666666666616,4.232804232804225,Wide,Bearish,Below CPR,False,False,1.0,60,1543222.4849999999,Lower,True,Neutral,False,0.029285714285714266,0.7628,0.8417999999999999,0.9105691056910559,4.36499345070131,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,399,INE470Y01017,NIACL,EQ,,,,,THE NEW INDIA ASSU CO LTD,196.49,234.39,196.49,229.91,231.0,195.33,,229.91,,,66928665,14930434679.0,399899,F1,1,,,,,,Cash Only,Financial Services,True,220.26333333333332,215.44,225.08666666666664,225.08666666666664,215.44,9.646666666666647,4.1958447508445245,Wide,Bullish,Above CPR,False,False,1.0,60,239648750.75,Higher,True,Neutral,False,9.594285714285713,181.46939999999998,173.14919999999998,1.0054595989676376,62.30132488600089,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,10343,INE583V01021,RADHIKAJWE,EQ,,,,,RADHIKA JEWELTECH LIMITED,71.55,85.0,71.55,83.16,84.2,71.32,,83.16,,,14544177,1179993917.43,82624,F1,1,,,,,,Cash Only,Unclassified,False,79.90333333333334,78.275,81.53166666666667,81.53166666666667,78.275,3.2566666666666606,3.9161455828122422,Wide,Bullish,Above CPR,False,False,1.0,60,34451405.620000005,Higher,True,Neutral,False,3.984285714285716,66.17240000000001,63.223200000000006,0.8173777937133959,34.25096585159302,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,21362,INE170V01027,SALASAR,EQ,,,,,SALASAR TECHNO ENGG. LTD.,5.12,5.88,5.12,5.2,5.21,5.08,,5.2,,,26712678,144034125.42,20032,F1,1,,,,,,Cash Only,Unclassified,False,5.3999999999999995,5.5,5.299999999999999,5.5,5.299999999999999,0.20000000000000107,3.8461538461538667,Wide,Bearish,Below CPR,False,False,1.0,60,15319107.625,Higher,True,Neutral,False,0.2385714285714285,5.935,6.541399999999999,0.8383233532934179,9.40225298665202,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,764855,INE005C01017,RTSPOWR,EQ,,,,,R T S POWER CORPN. LTD.,92.21,99.0,87.1,88.08,90.0,90.4,,88.96,,,2343,211519.23,62,F1,1,,,,,,Cash Only,Unclassified,False,91.39333333333333,93.05,89.73666666666666,93.05,89.73666666666666,3.3133333333333326,3.7617317590069623,Wide,Bearish,Below CPR,False,False,0.9333333333333333,15,111143.1,Outside,False,Neutral,False,7.039285714285716,,,0.47069169626247226,1.9031251602663593,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,761814,INE887D01024,TCC,EQ,,,,,TCC CONCEPT LIMITED,47.33,49.22,43.8,44.1,44.0,233.13,,44.1,,,578711,26914347.29,6528,F1,1,,,,,,Cash Only,Unclassified,False,45.70666666666667,46.51,44.90333333333334,46.51,44.90333333333334,1.606666666666655,3.6432350718064734,Wide,Bearish,Below CPR,False,False,0.9833333333333333,60,6521654.225,Lower,True,Neutral,False,28.02857142857142,274.1496,322.70029999999997,0.05732246007475325,4.1269203121543905,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,20323,INE688D01026,RESPONIND,EQ,,,,,RESPONSIVE INDUSTRIES LTD,151.25,176.14,150.37,154.9,151.99,151.87,,154.91,,,40184929,6773146067.6,227735,F1,1,,,,,,Cash Only,Unclassified,False,160.47,163.255,157.685,163.255,157.685,5.569999999999993,3.595868302130402,Wide,Bearish,Below CPR,False,False,0.9666666666666667,60,19177550.15,Higher,True,Neutral,False,6.850714285714283,175.4282,173.4352,0.8130539047023244,353.18098582054813,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,2658,INE245B01011,PHOENXINTL,EQ,,,,,PHOENIX INTERNATIONAL LTD,32.5,32.5,28.52,29.01,28.9,29.48,,29.01,,,5152,152635.81,84,F1,1,,,,,,Cash Only,Unclassified,False,30.01,30.509999999999998,29.510000000000005,30.509999999999998,29.510000000000005,0.9999999999999929,3.447087211306421,Wide,Bearish,Below CPR,False,False,0.9333333333333333,15,61644.4,Overlapping,False,Neutral,False,3.2235714285714283,,,0.3102149346332794,2.4760693590983123,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,11975,INE050H01012,RML,EQ,,,,,RANE (MADRAS) LIMITED,1127.5,1333.0,1125.1,1295.9,1295.4,1127.4,,1295.91,,,2195205,2841884791.2,80830,F1,1,,,,,,Cash Only,Unclassified,False,1251.3333333333333,1229.05,1273.6166666666666,1273.6166666666666,1229.05,44.566666666666606,3.4390513671322327,Wide,Bullish,Above CPR,False,False,0.9666666666666667,60,32419908.275,Higher,True,Neutral,False,46.40714285714288,1156.489,1025.9695,0.9603406700528432,87.65863145243584,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,-2,-2
2026-09-04,2026-09-04,CM,NSE,STK,764950,INE390D01011,TERAI,EQ,,,,,TERAI TEA CO. LTD.,121.1,132.95,121.1,121.43,121.26,124.3,,122.27,,,1068,131362.1,32,F1,1,,,,,,Cash Only,Unclassified,False,125.16000000000001,127.02499999999999,123.29500000000003,127.02499999999999,123.29500000000003,3.7299999999999613,3.0717285678991693,Wide,Bearish,Below CPR,False,False,0.8333333333333334,12,23524.074999999997,Overlapping,False,Neutral,False,,,,,5.584155806338826,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,3387,INE294B01019,SMLMAH,EQ,,,,,SML MAHINDRA LIMITED,5725.0,6298.5,5719.5,6298.5,6298.5,5726.0,,6300.26,,,427607,2603149814.0,63893,F1,1,,,,,,Cash Only,Unclassified,False,6105.5,6009.0,6202.0,6202.0,6009.0,193.0,3.0642216400730335,Wide,Bullish,Above CPR,False,False,0.9833333333333333,60,331366866.1,Higher,True,Neutral,False,237.75,4756.72,4310.061000000001,0.8117770767613038,7.855793926042142,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
